author_id,name
0,Michael Stonebraker
1,Hector Garcia-Molina
2,Raghu Ramakrishnan
3,Surajit Chaudhuri
4,AnHai Doan
5,Alon Halevy
6,Jennifer Widom
7,Dan Suciu
8,Christopher Ré
9,Neoklis Polyzotis
10,Jiawei Han
11,Jian Pei
12,Philip S. Yu
13,Christos Faloutsos
14,Charu C. Aggarwal
15,Hanghang Tong
16,Jingrui He
17,Peng Cui
18,Ziwei Zhang
19,Wenwu Zhu
20,Geoffrey Hinton
21,Yann LeCun
22,Yoshua Bengio
23,Andrew Ng
24,Michael I. Jordan
25,Stuart Russell
26,Peter Norvig
27,Tom Mitchell
28,Leslie Valiant
29,Percy Liang
30,Jeffrey Dean
31,Sanjay Ghemawat
32,Luiz André Barroso
33,Ion Stoica
34,Matei Zaharia
35,Scott Shenker
36,David Patterson
37,John Ousterhout
38,Remzi Arpaci-Dusseau
39,Andrea Arpaci-Dusseau
40,Christopher Manning
41,Dan Klein
42,Noah Smith
43,Yoav Goldberg
44,Mihai Surdeanu
45,Dan Jurafsky
46,Regina Barzilay
47,Kyunghyun Cho
48,Emily M. Bender
49,Fei-Fei Li
50,Jitendra Malik
51,Trevor Darrell
52,Ross Girshick
53,Kaiming He
54,Alex Krizhevsky
55,Andrew Zisserman
56,Antonio Torralba
57,Li Fei-Fei
58,Devi Parikh
