u,v,year
22,24,2007
24,29,2007
26,27,2007
28,29,2007
32,38,2007
38,39,2007
11,13,2008
13,17,2008
20,22,2008
20,26,2008
21,27,2008
22,27,2008
23,26,2008
24,26,2008
31,37,2008
31,38,2008
33,39,2008
34,37,2008
41,44,2008
43,48,2008
18,19,2009
22,28,2009
23,28,2009
31,36,2009
33,35,2009
42,43,2009
43,44,2009
43,46,2009
46,48,2009
49,51,2009
49,54,2009
7,8,2010
11,18,2010
12,18,2010
15,18,2010
24,27,2010
29,46,2010
30,31,2010
30,32,2010
32,39,2010
33,36,2010
34,35,2010
13,16,2011
14,17,2011
16,18,2011
20,29,2011
21,24,2011
25,28,2011
29,45,2011
40,47,2011
42,44,2011
44,45,2011
49,50,2011
50,56,2011
51,56,2011
51,57,2011
52,58,2011
11,12,2012
21,22,2012
23,25,2012
23,27,2012
29,40,2012
41,48,2012
42,45,2012
43,45,2012
44,47,2012
45,48,2012
51,54,2012
51,55,2012
51,58,2012
52,54,2012
17,18,2013
21,29,2013
22,25,2013
29,41,2013
40,42,2013
43,47,2013
50,58,2013
54,56,2013
55,57,2013
23,30,2014
41,45,2014
51,52,2014
51,53,2014
53,58,2014
54,58,2014
55,58,2014
0,6,2015
8,10,2015
29,42,2015
42,47,2015
44,48,2015
46,47,2015
49,56,2015
50,55,2015
52,57,2015
53,57,2015
49,52,2016
56,58,2016
