u,v,year
2,4,1998
2,9,1998
1,7,1999
4,5,1999
5,9,1999
3,8,2000
0,2,2001
0,9,2001
1,5,2001
2,8,2001
3,9,2001
4,6,2002
4,7,2003
6,7,2003
31,34,2003
32,33,2003
32,35,2003
33,37,2003
33,38,2003
35,39,2003
0,4,2004
0,8,2004
5,6,2004
5,8,2004
6,8,2004
10,11,2004
10,15,2004
11,14,2004
12,19,2004
13,15,2004
14,18,2004
16,19,2004
17,19,2004
36,37,2004
2,7,2005
3,7,2005
10,13,2005
13,19,2005
30,34,2005
30,35,2005
32,36,2005
11,15,2006
11,19,2006
21,23,2006
26,29,2006
31,33,2006
35,37,2006
37,38,2006
11,17,2007
12,17,2007
14,15,2007
21,25,2007
